Clinton Bank & Trust Company,Sq 3  Liberty  St. Helena & Bank Sts,CLINTON,LA,70722,-37.685944,145.141613,
Bank of Northern Illinois,1301 Waukegan Road,GLENVIEW,IL,60025,42.078084,-87.798469,
Village Bank and Trust Arlington Heights,311 South Arlington Heights Road,ARLINGTON HEIGHT,IL,60005,42.078122,-87.980524,
First Tier Bank & Trust,129 NORTH UNION STREET,OLEAN,NY,14760,42.078124,-78.429893,
Harris Bank Arlington-Meadows,3225 Kirchoff Road,ROLLING MEADOWS,IL,60008,42.078888,-88.022341,
HSBC Bank USA,411 SOUTH MAIN STREET,ELMIRA,NY,14904,42.079135,-76.803404,
Edens Bank,3245 West Lake Avenue,WILMETTE,IL,60091,42.079432,-87.756074,http://www.edensbank.com
Exchange Bank of Olean,201 North Union Street,OLEAN,NY,14760,42.079581,-78.429912,
Exchange National Bank,201 North Union Street,OLEAN,NY,14760,42.079581,-78.429912,
Community Bank  National Association,201 NORTH UNION STREET,OLEAN,NY,14760,42.079581,-78.429912,
Sawyer Savings Bank,87 Market Street,SAUGERTIES,NY,12477,42.079587,-73.954666,http://www.sawyersavings.com
Jamestown Savings Bank,768 FOOTE AVENUE,JAMESTOWN,NY,14701,42.079719,-79.228318,
Community Bank  National Association,MAIN STREET,WOODHULL,NY,14898,42.07979,-77.40921,
First National Bank of Downsville,126 Main Street,DOWNSVILLE,NY,13755,42.080314,-74.995062,
Mutual Federal Savings Bank of Plymouth County,570 Washington St,WHITMAN,MA,2382,42.080567,-70.937259,http://www.mymutualbank.com
Manufacturers and Traders Trust Company,737 FOOTE AVENUE,JAMESTOWN,NY,14701,42.080801,-79.228998,
Fleet National Bank,260 NORTH UNION STREET,OLEAN,NY,14760,42.080903,-78.429921,
NBD Arlington Heights Bank,900 East Kensington Road,ARLINGTON HEIGHT,IL,60004,42.080965,-87.972324,
Landmark Bank for Savings,584 Washington Street,WHITMAN,MA,2382,42.081027,-70.937408,
Keybank National Association,730 FOOTE AVENUE,JAMESTOWN,NY,14701,42.081058,-79.229156,
Southbridge Savings Bank,253-257 Main Street,SOUTHBRIDGE,MA,1550,42.081896,-72.048894,http://www.southbridgesavingsbank.com
Keybank National Association,MAIN STREET,PHOENICIA,NY,12464,42.08243,-74.31633,
The Peoples' Bank of Arlington Heights,10 South Vail Street,ARLINGTON HEIGHT,IL,60005,42.082683,-87.984123,http://www.peoplesbanc.com
Peoples' Bank of Arlington Heights,10 South Vail Street,ARLINGTON HEIGHT,IL,60005,42.082683,-87.984123,
Arlington Heights Federal Savings and Loan Associa,25 E Campbell St,ARLINGTON HEIGHT,IL,60005,42.082828,-87.982565,
Arlington Heights Savings Association  F.A.,25 East Campbell Street,ARLINGTON HEIGHT,IL,60005,42.082828,-87.982565,
Ben Franklin Bank of Illinois,14 North Dryden Avenue,ARLINGTON HEIGHT,IL,60004,42.082851,-87.970782,http://www.benfrankbank.com
Elmira Savings Bank  FSB,930 WEST CHURCH STREET,ELMIRA,NY,14905,42.083133,-76.83109,
Dean Co-operative Bank,21 Main Street,FRANKLIN,MA,2038,42.083304,-71.39775,http://www.deanbank.com
Benjamin Franklin Savings Bank,58 Main Street,FRANKLIN,MA,2038,42.083866,-71.398239,
Benjamin Franklin Bank,58 Main Street,FRANKLIN,MA,2038,42.083866,-71.398239,http://www.benfranklinbank.com
Keybank National Association,450 NORTH UNION STREET,OLEAN,NY,14760,42.084316,-78.429961,
Royal American Bank,1604 Colonial Parkway,PALATINE,IL,60067,42.084477,-88.079367,http://www.royalamerican.com
Village Bank and Trust,234 West Northwest Highway,ARLINGTON HEIGHT,IL,60004,42.085435,-87.985918,http://www.bankatvillage.com
First Northwest Bank,234 West Northwest Highway,ARLINGTON HEIGHT,IL,60004,42.085488,-87.985995,
Southstate Bank for Savings,1 North Main Street,BROCKTON,MA,2401,42.085561,-71.019856,
Chemung Canal Trust Company,628 WEST CHURCH STREET,ELMIRA,NY,14905,42.086002,-76.82133,
Manufacturers and Traders Trust Company,148 VESTAL PARKWAY EAST,VESTAL,NY,13850,42.0864,-76.051121,
Charter One Bank  F.S.B.,109 NORTH MAIN STREET,VESTAL,NY,13850,42.086453,-76.053632,
Howard Savings Bank,1700 Milwaukee Avenue,GLENVIEW,IL,60025,42.086469,-87.869688,
First American Bank of Hampshire,201 South State Street,HAMPSHIRE,IL,60140,42.087135,-88.529507,
Farmers State Bank Chadwick and Mount Carroll,Route 64,MOUNT CARROLL,IL,61053,42.087391,-89.97121,
NBD Bank Mount Prospect  National Association,55 East Euclid Avenue  One First Bank Plaza,MOUNT PROSPECT,IL,60056,42.087967,-87.935751,
Harris Bank Wilmette  National Association,1701 Sheridan Road,WILMETTE,IL,60091,42.088147,-87.701808,
Elmira Savings Bank  FSB,333 East Water Street,ELMIRA,NY,14901,42.088319,-76.801619,
The Elmira Savings Bank  FSB,333 East Water Street,ELMIRA,NY,14901,42.088319,-76.801619,http://www.elmirasavingsbank.com
Manufacturers and Traders Trust Company,1170 VESTAL AVENUE,BINGHAMTON,NY,13903,42.088674,-75.915236,
Mechanics Savings Bank,301-303 East Water Street,ELMIRA,NY,14901,42.090526,-76.783133,
Lewiston State Bank of Idaho,217 South State,PRESTON,ID,83263,42.090738,-111.876561, 
Chemung Valley Federal Savings and Loan Associatio,351 North Main Street,ELMIRA,NY,14901,42.091113,-76.808925,
BSB Bank & Trust Company,351 NORTH MAIN STREET,ELMIRA,NY,14901,42.091113,-76.808925,
First Tier Bank & Trust,60 WEST MAIN STREET,ALLEGANY,NY,14706,42.091207,-78.496016,
Fleet National Bank,25 SOUTH MAIN STREET,JAMESTOWN,NY,14701,42.091584,-79.236861,
Farmers Savings Bank,Main Street,GARWIN,IA,50632,42.09243,-92.67835,
Chase Manhattan Bank of the Mid-Hudson (National A,Main Street,SAUGERTIES,NY,12477,42.0927,-73.93543,
First Illinois National Bank,229 Main Street,SAVANNA,IL,61074,42.092719,-90.156001,
State Bank of Kirkland,306 West Main Street,KIRKLAND,IL,60146,42.092759,-88.846714,
Manufacturers and Traders Trust Company,1 WEST SIXTH STREET,JAMESTOWN,NY,14701,42.09284592,-79.24398804,
HSBC Bank USA,4700 VESTAL PARKWAY EAST,VESTAL,NY,13850,42.092884,-75.951059,
Manufacturers and Traders Trust Company,1635 WEST THIRD STREET,JAMESTOWN,NY,14701,42.093382,-79.26389,
Savanna State Bank,302 Main Street,SAVANNA,IL,61074,42.093389,-90.156439,
First Savanna Savings Bank,301 Main St,SAVANNA,IL,61074,42.093433,-90.156357, 
Manufacturers and Traders Trust Company,CRESCENT DRIVE,KIRKWOOD,NY,13795,42.09394,-75.8224,
BSB Bank & Trust Company,4700 VESTAL PARKWAY EAST,VESTAL,NY,13850,42.09396,-75.954965,
1st Oak Brook Bank,2200 Waukegan Road,GLENVIEW,IL,60025,42.094654,-87.798184,
Mount Carroll National Bank,Main Street,MOUNT CARROLL,IL,61053,42.09478,-89.97872,
HSBC Bank USA,117 WEST MAIN STREET,ENDWELL,NY,13760,42.095195,-76.065591,
Manufacturers and Traders Trust Company,4481 VESTAL PARKWAY EAST,VESTAL,NY,13850,42.095395,-75.962927,
Marine Midland Bank -- Chautauqua  National Associ,201 North Main Street,JAMESTOWN,NY,14701,42.095615,-79.24118,
HSBC Bank USA,201 NORTH MAIN STREET,JAMESTOWN,NY,14701,42.095615,-79.24118,
Keybank National Association,202 NORTH MAIN STREET,JAMESTOWN,NY,14701,42.095628,-79.241183,
Key Bank,202 North Main Street,JAMESTOWN,NY,14701,42.095628,-79.241183,
Charter One Bank  F.S.B.,3212 VESTAL PARKWAY EAST,VESTAL,NY,13850,42.096051,-75.99946,
Jamestown Savings Bank,23 WEST THIRD STREET,JAMESTOWN,NY,14701,42.096245,-79.24216,
Community First National Bank,224 Box Butte Avenue,ALLIANCE,NE,69301,42.096402,-102.870711,
First National Bank of Jamestown,2 East Third Street,JAMESTOWN,NY,14701,42.096411,-79.241263,
Fleet National Bank,300 NORTH MAIN STREET,JAMESTOWN,NY,14701,42.096482,-79.241414,
Chase Manhattan Bank,2-8 EAST THIRD STREET,JAMESTOWN,NY,14701,42.096527,-79.240583,
Western Bank,1204 West Third Street,ALLIANCE,NE,69301,42.09684,-102.885975,
Manufacturers and Traders Trust Company,315 CONKLIN AVENUE,BINGHAMTON,NY,13903,42.096981,-75.887686,
Alliance National Bank and Trust Company,124 West Third Street,ALLIANCE,NE,69301,42.097135,-102.871139,
Keybank National Association,WEST FIFTH AND CLINTON STREETS,JAMESTOWN,NY,14701,42.09714,-79.24786,
HSBC Bank USA,20 HAWLEY STREET,BINGHAMTON,NY,13901,42.097233,-75.913626,
Fleet National Bank,707 FAIRMOUNT AVENUE,JAMESTOWN,NY,14701,42.097248,-79.281484,
HSBC Bank USA,707 FAIRMONT AVENUE,JAMESTOWN,NY,14701,42.097248,-79.281484,
Jamestown Savings and Loan Association,115 East Fourth Street,JAMESTOWN,NY,14701,42.097525,-79.239767,
Lake Shore Savings and Loan Association,115 EAST 4TH STREET,JAMESTOWN,NY,14701,42.097525,-79.239767,
Citizens First National Bank of Genoa,327 West Main Street,GENOA,IL,60135,42.097598,-88.694967,
First Savings and Loan Association of Sycamore,405 West Main Street,GENOA,IL,60135,42.097718,-88.695762,
HSBC Bank USA,417 SPRING STREET,JAMESTOWN,NY,14701,42.097843,-79.239273,
Endicott Trust Company,35-41 Washington Avenue,ENDWELL,NY,13760,42.097944,-76.047346,
Charter One Bank  F.S.B.,18-20 WASHINGTON AVENUE,ENDWELL,NY,13760,42.097944,-76.047346,
Bank of New York Southern Tier,18-20 Washington Avenue,ENDWELL,NY,13760,42.097944,-76.047346,
Cardunal Savings Bank  FSB,704 West Main Street,DUNDEE,IL,60118,42.098158,-88.285427,http://www.cardunal.net
Manufacturers and Traders Trust Company,281 EAST FAIRMOUNT AVENUE,LAKEWOOD,NY,14750,42.098292,-79.307138,
Charter One Bank  F.S.B.,84 COURT STREET,BINGHAMTON,NY,13901,42.098706,-75.911781,
Chase Manhattan Bank of the Southern Tier (Nationa,65 Court Street,BINGHAMTON,NY,13901,42.098725,-75.912211,
OSB Community Bank,417 South Main Street,BROOKLYN,MI,49230,42.09899,-84.247781,http://www.osbcb.com
Bank of Western Massachusetts,29 State Street,SPRINGFIELD,MA,1103,42.099065,-72.589305,
Jamestown Savings Bank,311 East Fairmount Avenue,LAKEWOOD,NY,14750,42.099223,-79.302519,
Cornerstone National Bank & Trust Company,542 North Plum Grove Road,PALATINE,IL,60067,42.100445,-88.043774,
Lake Shore Savings and Loan Association,1 GREEN AVENUE-WEGMANS PLAZA,JAMESTOWN,NY,14701,42.100673,-79.290478,
Northview Bank & Trust,245 Waukegan Road,NORTHFIELD,IL,60093,42.100893,-87.798524,
Monson Savings Bank,146 Main Street,MONSON,MA,1057,42.101017,-72.31963348,http://www.monsonsavings.com
Bank of Boston-Western Massachusetts  National Ass,1350 Main Street,SPRINGFIELD,MA,1103,42.102176,-72.589345,
Exchange State Bank,126 North Broad Street,LANARK,IL,61046,42.102349,-89.832977,http://www.lanarkbank.com
NBD Northfield Bank,400 Central Avenue,NORTHFIELD,IL,60093,42.10241,-87.770808,
The Bank of Western Massachusetts,1391 Main Street,SPRINGFIELD,MA,1103,42.102452,-72.5901,http://www.bankwmass.com
HSBC Bank USA,18 LAKE STREET,OWEGO,NY,13827,42.10279,-76.26087,
HSBC Bank USA,156 MAIN STREET,BINGHAMTON,NY,13905,42.102979,-75.929751,
Chemical Bank Shoreline,823 Riverview Drive,BENTON HARBOR,MI,49022,42.103023,-86.464884,
BayBank Valley Trust Company,1500 Main Street,SPRINGFIELD,MA,1103,42.103136,-72.591623,
Household Bank (Illinois)  N.A.,2700 Sanders Road,PROSPECT HEIGHTS,IL,60070,42.103232,-87.875598,
BSB Bank & Trust Company,43 WASHINGTON AVENUE,ENDWELL,NY,13760,42.103792,-76.048365,
Westbank,225 Park Avenue,WEST SPRINGFIELD,MA,1089,42.103957,-72.62217,http://www.westbankonline.com
Chemung Canal Trust Company,203 MAIN STREET,OWEGO,NY,13827,42.104004,-76.261687,
Owego National Bank,203 Main Street,OWEGO,NY,13827,42.104004,-76.261687,
HSBC Bank USA,32 WASHINGTON AVE,ENDWELL,NY,13760,42.104028,-76.048391,
Chemical Bank of Binghamton,70-76 Court Street,BINGHAMTON,NY,13901,42.104129,-75.89314,
Manufacturers and Traders Trust Company,89-91 COURT STREET,BINGHAMTON,NY,13901,42.104129,-75.89314,
Community Bank  National Association,11 TUSCARORA STREET,ADDISON,NY,14801,42.104159,-77.23558,
Community National Bank,11 Tuscarora Street,ADDISON,NY,14801,42.104159,-77.23558,
First American Bank,261 South Western Avenue,CARPENTERSVILLE,IL,60110,42.104179,-88.29056,http://www.firstambank.com
Manufacturers and Traders Trust Company,22 GRANT AVENUE,ENDWELL,NY,13760,42.104567,-76.046074,
Manufacturers and Traders Trust Company,1310 NORTH STREET,ENDWELL,NY,13760,42.104888,-76.047758,
NBD Glenbrook Bank,2801 Pfingsten Road,GLENVIEW,IL,60025,42.10518,-87.848968,
Keybank National Association,MAIN STREET,COPAKE,NY,12516,42.10544,-73.54724,
First Chicago Bank of Winnetka,791 Elm Street,NORTHFIELD,IL,60093,42.105813,-87.734046,
Harris Bank Winnetka  National Association,790 Elm Street,NORTHFIELD,IL,60093,42.105813,-87.734033,
Winnetka Savings and Loan Association,814 Elm Street,NORTHFIELD,IL,60093,42.105821,-87.734871,
Workingmans Savings Association,1101 Pittsburgh Ave,PRESQUE ISLE,PA,16505,42.106325,-80.131699,
Chase Manhattan Bank,202 CLINTON STREET,BINGHAMTON,NY,13905,42.106326,-75.928425,
United Bank,95 Elm Street,WEST SPRINGFIELD,MA,1089,42.106388,-72.622487,http://www.bankatunited.com
United Co-operative Bank,95 Elm Street,WEST SPRINGFIELD,MA,1089,42.106388,-72.622487,
Abington Savings Bank,533 Washington Street,ABINGTON,MA,2351,42.106746,-70.945199,
Bronson-Gore Bank in Prospect Heights,606 Milwaukee Avenue,PROSPECT HEIGHTS,IL,60070,42.106894,-87.888977,
Manufacturers and Traders Trust Company,149-153 ROBINSON STREET,BINGHAMTON,NY,13904,42.107368,-75.866318,
BSB Bank & Trust Company,156 ROBINSON STREET,BINGHAMTON,NY,13904,42.107486,-75.890419,
Charter One Bank  F.S.B.,186 ROBINSON STREET,BINGHAMTON,NY,13904,42.107719,-75.887016,
Fifth Third Bank  Indiana,830 Pleasant Street,SAINT JOSEPH,MI,49085,42.107829,-86.478141,
Parkway Bank,2 North Western Avenue,CARPENTERSVILLE,IL,60110,42.107989,-88.293669,
Stillman BancCorp N.A.,101 East Main Street,STILLMAN VALLEY,IL,61084,42.108002,-89.18001,http://www.stillmanbank.com
Security State Bank,107 Garnavillo,ANAMOSA,IA,52205,42.108015,-91.286812,
Security State Bank,107 South Garnavillo Street,ANAMOSA,IA,52205,42.108101,-91.286846,http://www.securitystate-bank.com
BSB Bank & Trust Company,MAIN STREET AND CRESTMONT ROAD,BINGHAMTON,NY,13905,42.10823,-75.93928,
Charter West National Bank,610 4th Street,PENDER,NE,68047,42.108242,-96.707046,
Citizens Savings Bank,215 East Main Street,ANAMOSA,IA,52205,42.108261,-91.284186,http://www.citizensbankia.com
Manufacturers and Traders Trust Company,33 WEST STATE STREET,BINGHAMTON,NY,13901,42.108724,-75.90646,
Edgewater  Bank,321 Main Street,SAINT JOSEPH,MI,49085,42.108736,-86.48077,http://www.edgewaterbank.com
Lasalle Federal Savings Bank,321 Main Street,SAINT JOSEPH,MI,49085,42.108736,-86.48077,
Peoples Savings Association  FA,321 Main Street,SAINT JOSEPH,MI,49085,42.108736,-86.48077,
First State Bank of Decatur,124 Phelps Street,DECATUR,MI,49045,42.108933,-85.974566,http://www.decaturmi.orgfirststate/
SJS Federal Savings Bank,301 State St,SAINT JOSEPH,MI,49085,42.109393,-86.48185,
Palatine Savings and Loan Association,100 West Palatine Road,PALATINE,IL,60067,42.110404,-88.046313,
NBD F & M Bank  National Association,400 Riverview Drive,BENTON HARBOR,MI,49022,42.110649,-86.465648,
Charter One Bank  F.S.B.,340 MAIN STREET,BINGHAMTON,NY,13905,42.111037,-75.944609,
Mutual Savings and Loan Association,121 W 26th Street,ERIE,PA,16508,42.111188,-80.075318,
UniBank for Savings,49 Church Street,WHITINSVILLE,MA,1588,42.11122,-71.662221,http://www.unibank.com
Whitinsville Savings Bank,49 Church Street,WHITINSVILLE,MA,1588,42.11122,-71.662221,
Stoughton Co-operative Bank,950 Park Street,STOUGHTON,MA,2072,42.111286,-71.072975,http://www.stoughtoncoopbank.com
Harris Bank Palatine  National Association,50 North Brockway,PALATINE,IL,60067,42.111497,-88.046181,
Community Bank  National Association,1231 NORTH MAIN STREET,JAMESTOWN,NY,14701,42.113313,-79.240875,
Manufacturers and Traders Trust Company,20 JENISON AVENUE,JOHNSON CITY,NY,13790,42.1137,-75.953042,
Manufacturers and Traders Trust Company,FRONT AND LAKE STREETS,OWEGO,NY,13827,42.11380768,-76.25279999,
Tioga State Bank,P & C SHOPPING PLAZA  ROUTE 17-C,OWEGO,NY,13827,42.11380768,-76.25279999,
Community Bank  National Association,TOPS FAIRGROUND PLAZA  WEST MAIN STREET,OWEGO,NY,13827,42.11380768,-76.25279999,
Manufacturers and Traders Trust Company,1103 UNION CENTER ROAD,ENDWELL,NY,13760,42.11408997,-76.05693054,
Manufacturers and Traders Trust Company,35-41 WASHINGTON AVENUE,ENDWELL,NY,13760,42.11408997,-76.05693054,
Manufacturers and Traders Trust Company,SMITH DRIVE PLAZA  519  HOOPER RD  S,ENDWELL,NY,13760,42.11408997,-76.05693054,
Pender State Bank,222 Main Street,PENDER,NE,68047,42.114092,-96.704397,http://www.penderstate.com
Pender State Bank,Main Street,PENDER,NE,68047,42.1141,-96.70709,
HSBC Bank USA,205 FLUVANNA AVENUE,JAMESTOWN,NY,14701,42.114657,-79.249167,
Manufacturers and Traders Trust Company,181 CLINTON STREET,BINGHAMTON,NY,13905,42.11505127,-75.93086243,
Heritage Bank and Trust Company,100 Broad Street,MONTGOMERY,MA,1085,42.115056,-72.747419,
HSBC Bank USA,243 MAIN STREET,JOHNSON CITY,NY,13790,42.115203,-75.955218,
First Federal Savings and Loan Association,1202-1204 State St,ERIE,PA,16501,42.116012,-80.076387,
Charter One Bank  F.S.B.,3521 COUNTRY CLUB ROAD,ENDWELL,NY,13760,42.116237,-76.019075,
Fleet National Bank,210 WEST MAIN STREET,FALCONER,NY,14733,42.116243,-79.201128,
BSB Bank & Trust Company,540-544 HOOPER ROAD,ENDWELL,NY,13760,42.116655,-76.008381,
Manufacturers and Traders Trust Company,101 OAKDALE MALL,JOHNSON CITY,NY,13790,42.11834,-75.977042,
HSBC Bank USA,107 OAKDALE MALL,JOHNSON CITY,NY,13790,42.118589,-75.977064,
Manufacturers and Traders Trust Company,20 WEST MAIN STREET,FALCONER,NY,14733,42.118658,-79.198417,
Northbrook Savings and Loan Association,1850 Shermer Road,NORTHBROOK,IL,60062,42.118813,-87.829326,
HSBC Bank USA,1 EAST MAIN STREET,FALCONER,NY,14733,42.119022,-79.197998,
First Bank and Trust Company of Illinois,300 East Northwest Highway,PALATINE,IL,60067,42.119447,-88.036446,http://www.firstbankillinois.com
Chemung Canal Trust Company,100 WEST MCCANN'S BOULEVARD,ELMIRA HEIGHTS,NY,14903,42.119467,-76.823686,
Woronoco Savings Bank,31 Court Street,MONTGOMERY,MA,1085,42.120195,-72.750959,
Bank of Palatine,One East Northwest Highway,PALATINE,IL,60067,42.121134,-88.043597, 
Cornerstone National Bank & Trust Company,One West Northwest Highway,PALATINE,IL,60067,42.121196,-88.043833,http://www.cornerstonenb.com
Key Trust Company National Association,99 NORTH MAIN STREET,WELLSVILLE,NY,14895,42.121311,-77.947143,
Community Bank  National Association,99 NORTH MAIN STREET,WELLSVILLE,NY,14895,42.121411,-77.947374,
Fleet National Bank,113 NORTH MAIN STREET,WELLSVILLE,NY,14895,42.121591,-77.947619,
First Trust Union Bank,113 North Main Street,WELLSVILLE,NY,14895,42.121591,-77.947619,
Kalamazoo County State Bank,North Grand Street,SCHOOLCRAFT,MI,49087,42.1233,-85.63722,http://www.kcsbank.com
Sharon Co-operative Bank,7 South Main Street,SHARON,MA,2067,42.123327,-71.179162,http://www.sharonco-opbank.com
Westfield Bank,141 Elm Street,MONTGOMERY,MA,1085,42.123656,-72.748156,http://www.westfieldbank.com
Community Bank  National Association,1982 EAST MN STREET,FALCONER,NY,14733,42.12391663,-79.1894989,
Chase Manhattan Bank,1975 LAKE STREET,ELMIRA,NY,14901,42.124384,-76.809951,
BSB Bank & Trust Company,REYNOLDS ROAD AND HARRY L. DRIVE,JOHNSON CITY,NY,13790,42.12458,-75.9717,
HSBC Bank USA,605 HARRY L. DRIVE,JOHNSON CITY,NY,13790,42.124652,-75.972655,
Marquette Savings Bank,920 Peach Street,ERIE,PA,16501,42.125733,-80.084523,http://www.marquettesavings.com
Forreston State Bank,Walnut And Main Streets,FORRESTON,IL,61030,42.126329,-89.57843,http://www.fsbil.com
Community Bank  National Association,4196 BOLIVAR ROAD,WELLSVILLE,NY,14895,42.126406,-77.967842,
Steuben Trust Company,475 NORTH HIGHLAND AVENUE,WELLSVILLE,NY,14895,42.126642,-77.964588,
Manufacturers and Traders Trust Company,REYNOLDS ROAD & HARRY L. DRIVE,JOHNSON CITY,NY,13790,42.12668228,-75.9684906,
Byron Bank,200 North Walnut,BYRON,IL,61010,42.126702,-89.257623,http://www.byronbank.com
Pinnacle Bank,324 Main Street,NELIGH,NE,68756,42.127874,-98.029877,
North Abington Co-operative Bank,6 Harrison Avenue,ABINGTON,MA,2351,42.128651,-70.944069,http://www.northabingtonbank.com/
BSB Bank & Trust Company,2075 UPPER LAKE ROAD,ELMIRA HEIGHTS,NY,14903,42.129041,-76.810918,
HSBC Bank USA,217 PRESCOTT AVENUE,ELMIRA HEIGHTS,NY,14903,42.129497,-76.819786,
First National Bank of Northbrook,1300 Meadow Road,NORTHBROOK,IL,60062,42.129616,-87.828052,
South Coastal Bank,279 Union Street,ROCKLAND,MA,2370,42.129759,-70.915442,http://www.southcoastalbank.com
Rockland Trust Company,288 Union Street,ROCKLAND,MA,2370,42.130083,-70.915537,http://www.rocklandtrust.com
AMCORE Bank Carpentersville,94 Kennedy Memorial Drive,CARPENTERSVILLE,IL,60110,42.130575,-88.257809,
Avon Co-operative Bank,1 East Main Street,AVON,MA,2322,42.131637,-71.040072, 
LaSalle Bank Northbrook,1200 Shermer Road,NORTHBROOK,IL,60062,42.131709,-87.82316,
Community Bank  National Association,12 GARDEN STREET,CORNING,NY,14830,42.131832,-77.034929,
Northbrook Bank and Trust Company,1100 Waukegan Road,NORTHBROOK,IL,60062,42.132955,-87.821073,http://www.northbrookbank.com
First State Bank,2686 MAIN STREET,GREENWOOD,NY,14839,42.13356,-77.648918,
Fleet National Bank,4266 ROUTE 9G,GERMANTOWN,NY,12526,42.133606,-73.892225,
Harris Bank Glencoe-Northbrook  National Associati,333 Park Avenue,GLENCOE,IL,60022,42.134459,-87.758995,
Lingle State Bank,Second And Main Streets,LINGLE,WY,82223,42.13462448,-104.3319931,
Elmira Savings Bank  FSB,1102 GRAND CENTRAL AVENUE,HORSEHEADS,NY,14845,42.137596,-76.820234,
Milford Federal Savings and Loan Association,246 Main St,MILFORD,MA,1757,42.139146,-71.52107,http://www.milfordfederal.com
1st Equity Bank Northwest,1330 Dundee Road,BUFFALO GROVE,IL,60089,42.13919,-87.98778, 
Pioneer Savings and Loan Association,699 West Dundee,WHEELING,IL,60090,42.139222,-87.93218,
Wheeling Trust and Savings Bank,350 East Dundee Road,WHEELING,IL,60090,42.13942,-87.922988,
Cole Taylor Bank/Main,350 East Dundee Road,WHEELING,IL,60090,42.13942,-87.922988,
Bank of Buffalo Grove,10 East Dundee Road,WHEELING,IL,60090,42.13955,-87.915542,
Home National Bank of Milford,221 Main Street,MILFORD,MA,1757,42.13983,-71.520642,
Fairfield Savings Bank  F.S.B.,Old Mchenry Road & Route 83,LONG GROVE,IL,60047,42.14078,-87.93254,
First National Bank of Wheeling,125 Mchenry Road,WHEELING,IL,60090,42.141104,-87.932775,
Chemung Canal Trust Company,CANAL AND MAPLE STREETS,BIG FLATS,NY,14814,42.14124,-76.93656,
Trenton Bank and Trust Company,2675 West Jefferson Avenue,WOODHAVEN,MI,48183,42.142595,-83.177583,
Old Kent Bank-Southeast,2674 West Jefferson Avenue,WOODHAVEN,MI,48183,42.142595,-83.177583,
First Bank and Trust Company of Corning,5-9 East Market Street,CORNING,NY,14830,42.142982,-77.052147,
Manufacturers and Traders Trust Company,2-8 EAST MARKET STREET,CORNING,NY,14830,42.143201,-77.053422,
Fleet National Bank,5 EAST MARKET STREET,CORNING,NY,14830,42.143347,-77.054284,
Manufacturers and Traders Trust Company,286 DEYO HILL ROAD,JOHNSON CITY,NY,13790,42.143572,-75.959329,
Community Bank  National Association,150 WEST MARKET STREET,CORNING,NY,14830,42.144236,-77.059119,
Chemung Canal Trust Company,BRIDGE STREET AT WEST MARKET,CORNING,NY,14830,42.14454,-77.06066,
Walpole Co-operative Bank,982 Main Street,WALPOLE,MA,2081,42.145497,-71.253283,http://www.walpolecoop.com
Elmira Savings Bank  FSB,ROUTE 17 AND CHAMBERS ROAD,BIG FLATS,NY,14814,42.14550781,-76.95272064,
Bath National Bank,404 SOUTH HAMILTON STREET,PAINTED POST,NY,14870,42.146579,-77.11042,
Chicopee Bank & Trust Company,35 Center Street,CHICOPEE,MA,1013,42.146905,-72.607243,
Chase Manhattan Bank,1085 CHENANGO STREET,BINGHAMTON,NY,13901,42.147234,-75.888755,
Union Savings Bank of Manchester,135 East Main Street,MANCHESTER,MI,48158,42.149052,-84.04046,
Fleet National Bank,240 SOUTH HAMILTON STREET,PAINTED POST,NY,14870,42.149361,-77.107145,
Deerbrook State Bank,160 South Waukegan Road,DEERFIELD,IL,60015,42.149394,-87.833281,
NBT Bank  National Association,MAIN STREET,KELLY CORNERS,NY,12455,42.15006,-74.64517,
Manufacturers and Traders Trust Company,2490 CORNING ROAD,ELMIRA HEIGHTS,NY,14903,42.150095,-76.833694,
Community Bank  National Association,15 EAST PULTNEY STREET  SUITE 200,CORNING,NY,14830,42.151079,-77.060354,
Strata Bank,81 Main Street,MEDWAY,MA,2053,42.151096,-71.412307,http://www.stratabank.com
Milford Savings Bank,232 Main Street,MILFORD,MA,1757,42.15114212,-71.52740479,
Manufacturers and Traders Trust Company,60 EAST PULTENEY STREET,CORNING,NY,14830,42.151188,-77.058591,
South Shore Savings Bank,1530 Main Street,WEYMOUTH,MA,2190,42.151693,-70.955144,http://www.sssb.com
South Shore Savings Bank,1530 Main Street,WEYMOUTH,MA,2190,42.151693,-70.955144,
Keybank National Association,ROUTE 394,LAKEWOOD,NY,14750,42.15173,-79.40683,
Abington National Bank,Main Street,ABINGTON,MA,2351,42.15189,-70.95515,
Firstar North Shore Bank,1819 Lake Cook Road,NORTHBROOK,IL,60062,42.152476,-87.819913,
Canton Institution for Savings  The Bank of Ca,557 Washington Street,CANTON,MA,2021,42.152654,-71.147589,
Community Bank  National Association,331 WEST PULTENEY STREET,CORNING,NY,14830,42.152657,-77.075642,
CenTrust Bank  National Association,400 Lake Cook Road  Suite 202,DEERFIELD,IL,60015,42.152821,-87.837257,http://www.centrustbank.com
Milford National Bank and Trust Company,300 East Main Street,MILFORD,MA,1757,42.153065,-71.490026,
The Milford National Bank and Trust Company,300 East Main Street,MILFORD,MA,1757,42.153065,-71.490026,http://www.milfordnational.com
Medway Co-operative Bank,70 Main Street,MEDWAY,MA,2053,42.153082,-71.404778,http://www.medwaycoopbank.com
Harris Bank Barrington  National Association,201 South Grove Street,BARRINGTON,IL,60010,42.153125,-88.133595,
